Vraag van klant,Antwoord klantenservice
Wat is Swap Je Lease?,"Swap Je Lease is een online platform waar je je leasecontract kunt overdragen aan iemand anders, zonder hoge opzegboetes."
Hoe werkt het plaatsen van een leaseauto?,"Je plaatst je auto op de site voor €19,95 per maand of eenmalig voor €44,95, totdat het contract is overgenomen."
Wat zijn de voordelen van een leasecontract overnemen?,"Je betaalt vaak minder dan bij een nieuw contract, hebt geen wachttijd en profiteert van een kortere looptijd."
Wat kost het om mijn leaseauto aan te bieden?,"Je betaalt €19,95 per maand of eenmalig €44,95 totdat de auto is overgenomen."
Is het ook voor zakelijke rijders?,"Ja, zowel privé- als zakelijke rijders kunnen hun leasecontract overdragen of overnemen via Swap Je Lease."
Hoe weet ik of mijn leasecontract overdraagbaar is?,Wij checken dit voor je. Neem contact met ons op en we kijken het na bij je leasemaatschappij.
Wat gebeurt er als iemand interesse toont in mijn auto?,Je ontvangt bericht en wij begeleiden je met de vervolgstappen richting overname via de leasemaatschappij.
Kan ik ook een leaseauto overnemen via jullie?,"Ja, je kunt het aanbod bekijken, contact opnemen met de aanbieder en het contract overnemen via de leasemaatschappij."
Wat als ik mijn auto snel kwijt wil?,"We geven je tips om je auto extra zichtbaar te maken, zodat je sneller een overnemer vindt."
Wat gebeurt er na een succesvolle overname?,Je ontvangt een bevestiging en we vragen je om een review achter te laten.
Hoe lang duurt het gemiddeld voordat mijn leaseauto wordt overgenomen?,"Dat hangt af van de populariteit van je auto en de zichtbaarheid op het platform, maar gemiddeld duurt het enkele weken."
Moet ik toestemming hebben van de leasemaatschappij?,"Ja, de leasemaatschappij moet akkoord geven op de overdracht van het leasecontract."
Kan ik het contract ook overdragen aan iemand in mijn familie of kennissenkring?,"Ja, dat kan, zolang de leasemaatschappij akkoord gaat met de nieuwe contracthouder."
Wat als mijn auto niet wordt overgenomen?,Je advertentie blijft actief zolang je betaald hebt. We adviseren hoe je je aanbod aantrekkelijker kunt maken.
Hoe weet ik of een overnemer betrouwbaar is?,"Wij faciliteren het contact, maar de leasemaatschappij beoordeelt uiteindelijk de kredietwaardigheid van de overnemer."
Kan ik meerdere auto's aanbieden?,"Ja, je kunt meerdere auto's plaatsen op het platform. Voor elk voertuig gelden dezelfde tarieven."
Wat gebeurt er met de verzekering bij een overname?,De nieuwe contracthouder sluit een eigen verzekering af zodra het contract is overgenomen.
Kan ik mijn advertentie later aanpassen?,"Ja, je kunt de informatie over je leaseauto en foto's altijd wijzigen of aanvullen."
Moet ik belasting betalen over een overname?,"Nee, er zijn geen extra belastingen verbonden aan het overdragen van een leasecontract."
Is er een opzegtermijn bij het stopzetten van mijn advertentie?,"Nee, je kunt je advertentie op elk moment stopzetten. Eventuele vooruitbetaalde kosten worden niet gerestitueerd."
Is Swap Je Lease aangesloten bij een keurmerk?,"We werken samen met erkende leasemaatschappijen en zorgen voor een betrouwbare overdracht, maar we zijn geen aangesloten partij bij een specifiek keurmerk."
Kan ik ook elektrische auto's vinden op het platform?,"Ja, ons aanbod bevat ook elektrische leaseauto’s. Je kunt filteren op aandrijftype."
Hoe werkt het stappenplan voor overname?,1. Interesse tonen. 2. Contact opnemen. 3. Gegevens doorgeven aan leasemaatschappij. 4. Contractovername afronden.
Hoe promoot Swap Je Lease mijn auto?,Je auto wordt getoond op onze website en kan in marketinguitingen zoals nieuwsbrieven of social media gedeeld worden.
Zijn er kosten voor de overnemer?,"Nee, het platform is gratis te gebruiken voor overnemers."
Kan ik zien hoeveel mensen mijn auto bekijken?,"Ja, via je account kun je statistieken inzien zoals het aantal weergaven en reacties."
